RefID,Income,LoanBalance,Age,InterestType,MortgageType,InterestIncome,MortgageYears,PropertyValue,AnnualPayment,CreditRating,InterestRate,LoanToValue,Default
1,106312,"63,585",46,3,1,"1,272",31,"64,717","2,088",4,2,165,0
2,148173,"84,763",64,2,2,"3,073",30,"1,30,405","4,347",2,5,159,0
3,111249,"99,192",37,1,1,"5,332",32,"1,57,448","4,920",1,5,88,0
4,130126,"18,534",31,2,2,"1,158",32,"1,12,500","3,516",1,5,118,0
5,145493,"67,992",34,3,2,"1,190",34,"72,223","2,124",1,1,44,0
6,87632,"1,47,517",68,3,2,"2,213",30,"2,04,885","6,829",1,1,107,0
7,139616,"1,50,539",36,3,2,"1,129",32,"2,06,218","6,444",1,1,72,0
8,81877,"1,88,564",53,3,2,"8,250",30,"2,02,834","6,761",4,4,192,0
9,155219,"43,061",45,1,2,"2,853",29,"1,17,115","4,038",4,5,48,0
10,121074,"22,891",59,3,2,57,29,"1,37,459","4,740",3,0,78,0
11,144538,"1,14,680",60,3,2,"1,577",33,"1,76,430","5,346",1,1,166,0
12,89731,"14,052",58,2,1,105,35,"99,507","2,843",1,1,60,0
13,107405,"1,57,137",58,3,2,"4,321",33,"2,15,256","6,523",1,2,70,0
14,102255,"1,94,457",52,3,2,"4,618",29,"2,90,234","10,008",1,2,172,0
15,58918,"26,869",47,2,2,"1,411",32,"69,192","2,162",2,5,65,0
16,108777,"1,82,671",62,3,2,"2,283",35,"1,94,039","5,544",1,1,61,0
17,167083,"1,80,153",26,3,2,676,28,"2,53,737","9,062",3,0,183,0
18,190732,"1,86,348",29,1,2,"10,249",28,"1,97,945","7,069",1,5,114,0
19,145724,"27,977",66,3,1,699,33,"1,25,130","3,792",5,2,34,0
20,119787,"84,612",68,3,2,"1,375",35,"90,732","2,592",3,1,113,1
21,190332,"1,40,516",26,3,2,"4,040",29,"1,82,489","6,293",4,2,197,0
22,114615,"1,71,188",69,1,2,"9,629",32,"1,84,144","5,754",1,5,144,0
23,74879,"1,41,146",57,2,2,"5,293",31,"1,96,036","6,324",2,5,187,0
24,56605,"2,02,364",39,3,2,"5,059",31,"1,95,416","6,304",3,2,195,0
25,111727,"68,647",43,3,2,"1,201",35,"1,49,232","4,264",1,1,130,0
26,87829,"1,52,302",54,3,2,"3,427",28,"1,95,259","6,974",2,2,40,0
27,64860,"1,47,467",34,3,2,"5,714",29,"1,96,622","6,780",1,3,94,0
28,182147,"9,972",63,1,1,673,30,"94,158","3,139",4,5,34,0
29,132317,"71,215",63,2,2,"3,650",28,"90,989","3,250",3,5,163,0
30,73676,"61,042",69,1,2,"4,044",34,"64,707","1,903",2,5,44,0
31,40236,"42,382",57,3,1,424,35,"1,01,593","2,903",4,1,111,1
32,71697,"34,550",58,1,2,"1,857",35,"1,39,810","3,995",1,5,147,0
33,46259,"70,032",39,2,1,"1,488",30,"70,847","2,362",1,5,108,0
34,156007,"21,757",59,2,2,462,34,"62,164","1,828",1,5,135,0
35,40630,"1,46,409",47,1,2,"8,052",31,"1,87,704","6,055",3,5,181,0
36,60241,"1,84,484",38,3,2,"3,690",28,"2,36,519","8,447",1,2,81,0
37,56239,"56,811",45,2,2,994,32,"1,45,669","4,552",2,4,160,0
38,71895,"1,24,400",46,3,2,"3,576",30,"2,00,645","6,688",3,2,197,1
39,148238,"28,531",39,3,2,"1,213",28,"1,51,535","5,412",1,3,134,1
40,161597,"44,094",27,3,2,"1,047",29,"1,70,320","5,873",1,2,71,0
41,108248,"1,19,666",42,3,2,"3,889",35,"1,86,977","5,342",1,3,102,0
42,60737,"88,843",58,2,2,"1,222",34,"1,11,147","3,269",3,5,90,0
43,151295,"1,62,173",35,2,2,"1,216",34,"2,65,857","7,819",2,5,67,0
44,120762,"1,07,729",33,1,2,"6,194",34,"1,15,882","3,408",3,5,12,0
45,152004,"1,98,561",57,1,2,"10,921",28,"2,72,002","9,714",1,5,146,0
46,188422,"1,32,055",43,3,1,"2,311",30,"1,45,116","4,837",4,1,22,0
47,47542,"19,340",33,3,1,508,31,"96,675","3,119",2,2,49,0
48,105431,"1,47,467",47,2,2,"2,949",35,"1,60,660","4,590",1,5,67,0
49,90472,"73,381",54,3,1,"1,192",35,"74,236","2,121",3,1,172,0
50,116477,"84,763",44,2,2,"2,967",30,"1,36,715","4,557",2,5,25,0
51,89454,"54,469",45,3,2,"1,566",33,"80,101","2,427",1,2,36,0
52,32325,"2,543",43,2,2,86,33,"72,045","2,183",3,5,8,0
53,39202,"7,781",55,3,2,233,28,"82,655","2,952",1,2,163,0
54,83077,"33,140",49,3,2,83,33,"1,12,647","3,414",2,0,117,0
55,54458,"88,843",57,1,2,"5,775",28,"1,26,918","4,533",1,5,133,0
56,57124,"80,407",31,2,2,"3,317",35,"1,13,249","3,236",2,5,80,0
57,151666,"23,419",25,1,2,"1,347",35,"1,32,677","3,791",2,5,5,0
58,191620,"1,72,800",54,3,2,"4,968",32,"1,85,877","5,809",2,2,118,0
59,189330,"1,74,638",35,3,2,"1,746",31,"2,49,483","8,048",1,1,89,0
60,130618,"1,75,872",43,2,2,220,28,"2,28,405","8,157",1,0,39,0
61,107221,"56,509",58,1,2,"3,673",35,"61,736","1,764",1,5,113,0
62,94894,"64,844",53,3,2,"1,945",32,"67,335","2,104",1,2,102,0
63,121931,"26,869",40,2,2,739,34,"73,655","2,166",1,5,144,0
64,83197,"1,80,581",30,3,2,"3,160",30,"2,69,524","8,984",1,1,151,0
65,106866,"1,29,461",41,2,2,"1,618",28,"1,18,295","4,225",5,5,93,0
66,76612,"1,48,071",66,3,2,"5,368",30,"2,31,361","7,712",3,3,110,0
67,128574,"1,17,097",63,3,1,293,29,"1,74,772","6,027",1,0,123,0
68,99497,"1,85,341",68,3,2,463,35,"2,37,616","6,789",2,0,129,0
69,84404,"1,35,379",53,2,2,"7,277",32,"1,71,366","5,355",2,5,24,0
70,175949,"1,96,169",47,2,2,"4,904",33,"2,58,117","7,822",2,5,11,0
71,172300,"80,608",41,2,2,"5,139",30,"1,02,539","3,418",1,5,113,0
72,178980,"1,47,517",27,2,2,"7,929",30,"2,37,931","7,931",3,5,56,0
73,104685,"1,76,376",38,3,1,"7,937",30,"1,17,095","3,903",5,4,139,0
74,169961,"1,38,502",62,3,1,"2,424",28,"2,06,719","7,383",1,1,192,0
75,39305,"62,552",69,1,2,"3,440",34,"1,33,090","3,914",3,5,125,0
76,177105,"1,60,813",48,3,2,804,28,"1,70,821","6,101",1,0,118,0
77,69840,"56,509",68,2,1,"1,271",35,"77,409","2,212",1,5,28,0
78,79962,"1,80,757",52,2,2,"8,134",33,"2,44,267","7,402",2,5,121,0
79,107560,"1,82,621",53,3,2,228,29,"2,64,668","9,126",1,0,34,0
80,160823,"12,339",54,3,2,602,28,"61,681","2,203",2,4,55,0
81,117185,"66,128",62,3,1,"1,819",28,"98,699","3,525",1,2,65,0
82,123941,"68,395",35,3,1,"2,479",34,"89,993","2,647",2,3,198,0
83,199520,"1,78,315",65,1,2,"8,916",30,"1,91,809","6,394",1,4,50,0
84,49610,"1,51,496",25,2,2,"8,332",35,"1,91,767","5,479",2,5,121,0
85,34031,"1,03,045",39,2,2,"5,281",30,"1,12,265","3,742",2,5,149,0
86,144041,"1,50,060",68,1,2,"8,066",31,"1,89,950","6,127",3,5,23,0
87,177309,"62,200",58,3,1,"1,322",35,"63,900","1,826",4,2,24,0
88,104346,"67,312",27,3,1,"1,094",32,"1,86,977","5,843",5,1,173,0
89,158677,"1,64,490",63,1,2,"11,309",35,"1,81,534","5,187",4,6,55,0
90,160824,"78,165",36,3,2,"1,172",34,"82,663","2,431",3,1,177,0
91,89862,"73,028",26,3,1,913,28,"79,562","2,842",1,1,44,0
92,48679,"1,07,880",57,3,2,"4,450",35,"1,43,840","4,110",1,3,15,0
